Capacitance,Capacitance Code,Size ØDxL (mm),"Ripple Current (mA rms, 105°C 100KHz)",Voltage
0.47,R47,,,6.3V
1,10,,,6.3V
2.2,2R2,,,6.3V
3.3,3R3,,,6.3V
4.7,4R7,,,6.3V
10,100,,,6.3V
15,150,,,6.3V
22,220,,,6.3V
33,330,,,6.3V
47,470,,,6.3V
56,560,,,6.3V
82,820,,,6.3V
100,101,,,6.3V
120,121,,,6.3V
150,151,5x11,210,6.3V
180,181,,,6.3V
220,221,,,6.3V
330,331,6.3x11.5,340,6.3V
470,471,,,6.3V
680,681,8x11.5,640,6.3V
820,821,10x12,865,6.3V
1000,102,8x16,840,6.3V
1200,122,10x16,1210,6.3V
1500,152,13x20,1400,6.3V
1800,182,13x20,1450,6.3V
2200,222,13x20,1650,6.3V
0.47,R47,,,10V
1,10,,,10V
2.2,2R2,,,10V
3.3,3R3,,,10V
4.7,4R7,,,10V
10,100,,,10V
15,150,,,10V
22,220,,,10V
33,330,,,10V
47,470,,,10V
56,560,,,10V
82,820,,,10V
100,101,5x11,210,10V
120,121,,,10V
150,151,,,10V
180,181,,,10V
220,221,6.3x11.5,340,10V
330,331,,,10V
470,471,8x11.5,640,10V
680,681,8x16,840,10V
820,821,,,10V
1000,102,10x16,1210,10V
1200,122,10x20,1400,10V
1500,152,13x20,1450,10V
1800,182,,,10V
2200,222,13x20,1900,10V
0.47,R47,,,16V
1,10,,,16V
2.2,2R2,,,16V
3.3,3R3,,,16V
4.7,4R7,,,16V
10,100,,,16V
15,150,,,16V
22,220,,,16V
33,330,,,16V
47,470,,,16V
56,560,5x11,210,16V
82,820,,,16V
100,101,,,16V
120,121,,,16V
150,151,6.3x11.5,340,16V
180,181,,,16V
220,221,8x11.5,430,16V
330,331,8x11.5,640,16V
470,471,8x16,840,16V
680,681,10x16,1210,16V
820,821,,,16V
1000,102,10x20,1400,16V
1200,122,10x20,1650,16V
1500,152,13x20,1900,16V
1800,182,,,16V
2200,222,13x25,2230,16V
0.47,R47,,,25V
1,10,,,25V
2.2,2R2,,,25V
3.3,3R3,,,25V
4.7,4R7,,,25V
10,100,,,25V
15,150,,,25V
22,220,,,25V
33,330,,,25V
47,470,5x11,210,25V
56,560,,,25V
82,820,,,25V
100,101,6.3x11.5,340,25V
120,121,,,25V
150,151,,,25V
180,181,,,25V
220,221,8x11.5,640,25V
330,331,8x16,840,25V
470,471,10x16,1210,25V
680,681,10x20,1400,25V
820,821,10x25,1650,25V
1000,102,13x20,1900,25V
1200,122,13x25,2210,25V
1500,152,13x25,2230,25V
1800,182,,,25V
2200,222,13x35,2880,25V
0.47,R47,,,35V
1,10,,,35V
2.2,2R2,,,35V
3.3,3R3,,,35V
4.7,4R7,,,35V
10,100,,,35V
15,150,,,35V
22,220,,,35V
33,330,5x11,210,35V
47,470,6.3x11.5,340,35V
56,560,6.3x11.5,340,35V
82,820,,,35V
100,101,,,35V
120,121,,,35V
150,151,8x11.5,640,35V
180,181,,,35V
220,221,10x12,865,35V
330,331,10x16,1210,35V
470,471,10x20,1400,35V
680,681,13x20,1900,35V
820,821,,,35V
1000,102,16x25,2230,35V
1200,122,13x30,2650,35V
1500,152,13x35,2880,35V
1800,182,,,35V
2200,222,18x31,3140,35V
0.47,R47,5x11,17,50V
1,10,5x11,30,50V
2.2,2R2,5x11,43,50V
3.3,3R3,5x11,53,50V
4.7,4R7,5x11,95,50V
10,100,6.3x11.5,130,50V
15,150,,,50V
22,220,6.3x11.5,180,50V
33,330,,,50V
47,470,8x11.5,295,50V
56,560,,,50V
82,820,,,50V
100,101,10x12,555,50V
120,121,10x16,730,50V
150,151,10x16,760,50V
180,181,10x16,910,50V
220,221,10x20,1050,50V
330,331,10x25,1440,50V
470,471,13x20,1660,50V
680,681,13x30,2310,50V
820,821,13x35,2510,50V
1000,102,13x40,2920,50V
1200,122,16x31,3010,50V
1500,152,16x35,3150,50V
1800,182,,,50V
2200,222,18x35,3680,50V
0.47,R47,,,63V
1,10,,,63V
2.2,2R2,,,63V
3.3,3R3,,,63V
4.7,4R7,,,63V
10,100,,,63V
15,150,6.3x11.5,165,63V
22,220,,,63V
33,330,6.3x11.5,265,63V
47,470,,,63V
56,560,8x11.5,500,63V
82,820,8x16,665,63V
100,101,,,63V
120,121,10x16,950,63V
150,151,,,63V
180,181,10x20,1150,63V
220,221,10x25,1350,63V
330,331,,,63V
470,471,16x25,2000,63V
680,681,16x31,2600,63V
820,821,16x31,2850,63V
1000,102,16x35,2900,63V
1200,122,18x31,3300,63V
1500,152,18x35,3400,63V
1800,182,,,63V
2200,222,,,63V
