Capacitance Code,Capacitance,0402 6.3V,0402 10V,0402 16V,0402 25V,0402 50V,0402 100V,0603 10V,0603 16V,0603 25V,0603 50V,0603 100V,0805 10V,0805 16V,0805 25V,0805 50V,0805 100V,1206 10V,1206 16V,1206 25V,1206 50V,1206 100V,1210 6.3V,1210 10V,1210 16V,1210 25V,1210 50V,1210 100V
101,100pF,,N,N,N,N,,S1,S1,S1,S1,S1,B1,B1,B1,B1,B1,,,,,,,,,,,
121,120pF,,N,N,N,N,,S1,S1,S1,S1,S1,B1,B1,B1,B1,B1,,,,,,,,,,,
151,150pF,,N,N,N,N,,S1,S1,S1,S1,S1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,,,,,,
181,180pF,,N,N,N,N,,S1,S1,S1,S1,S1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,,,,,,
221,220pF,,N,N,N,N,,S1,S1,S1,S1,S1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,,,,,,
271,270pF,,N,N,N,N,,S1,S1,S1,S1,S1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,,,,,,
331,330pF,,N,N,N,N,,S1,S1,S1,S1,S1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,,,,,,
391,390pF,,N,N,N,N,,S1,S1,S1,S1,S1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,,,,,,
471,470pF,,N,N,N,N,,S,S,S,S,S,B,B,B,B,B,B,B,B,B,B,,,,,,
561,560pF,,N,N,N,N,,S,S,S,S,S,B,B,B,B,B,B,B,B,B,B,,,,,,
681,680pF,,N,N,N,N,,S,S,S,S,S,B,B,B,B,B,B,B,B,B,B,,,,,,
821,820pF,,N,N,N,N,,S,S,S,S,S,B,B,B,B,B,B,B,B,B,B,,,,,,
102,1nF,,N,N,N,N,,S,S,S,S,S,B,B,B,B,B,B,B,B,B,B,,C,C,C,C,C
122,1.2nF,,N,N,N,N,,S,S,S,S,S,B,B,B,B,B,B,B,B,B,B,,C,C,C,C,C
152,1.5nF,,N,N,N,N,,S,S,S,S,S,B,B,B,B,B,B,B,B,B,B,,C,C,C,C,C
182,1.8nF,,N,N,N,N,,S,S,S,S,S,B,B,B,B,B,B,B,B,B,B,,C,C,C,C,C
222,2.2nF,,N,N,N,N,,S,S,S,S,S,B,B,B,B,B,B,B,B,B,B,,C,C,C,C,C
272,2.7nF,,N,N,N,N,,S,S,S,S,S,B,B,B,B,B,B,B,B,B,B,,C,C,C,C,C
332,3.3nF,,N,N,N,N,,S,S,S,S,S,B,B,B,B,B,B,B,B,B,B,,C,C,C,C,C
392,3.9nF,,N,N,N,N,,S,S,S,S,S,B,B,B,B,B,B,B,B,B,B,,C,C,C,C,C
472,4.7nF,,N,N,N,N,,S,S,S,S,S,B,B,B,B,B,B,B,B,B,B,,C,C,C,C,C
562,5.6nF,,N,N,N,N,,S,S,S,S,S,B,B,B,B,B,B,B,B,B,B,,C,C,C,C,C
682,6.8nF,,N,N,N,N,,S,S,S,S,S,B,B,B,B,B,B,B,B,B,B,,C,C,C,C,C
822,8.2nF,,N,N,N,N,,S,S,S,S,S,B,B,B,B,B,B,B,B,B,B,,C,C,C,C,C
103,10nF,,N,N,N,N,,S,S,S,S,S,B,B,B,B,B,B,B,B,B,B,,C,C,C,C,C
123,12nF,,N,N,N,,,S,S,S,S,,B,B,B,B,B,B,B,B,B,B,,C,C,C,C,C
153,15nF,,N,N,N,,,S,S,S,S,,B,B,B,B,B,B,B,B,B,B,,C,C,C,C,C
183,18nF,,N,N,N,,,S,S,S,S,,B,B,B,B,B,B,B,B,B,B,,C,C,C,C,C
223,22nF,,N,N,N,,,S,S,S,S,X2,B,B,B,B,B,B,B,B,B,B,,C,C,C,C,C
273,27nF,,N,N,N,,,S,S,S,S,,B,B,B,B,D,B,B,B,B,B,,C,C,C,C,C
333,33nF,,N,N,N,,,S,S,S,X,,B,B,B,B,D,B,B,B,B,B,,C,C,C,C,C
393,39nF,,N,N,N,,,S,S,S,X,,B,B,B,B,D,B,B,B,B,B,,C,C,C,C,C
473,47nF,,N,N,N,N2,,S,S,S,X,X2,B,B,B,B,D,B,B,B,B,B,,C,C,C,C,C
563,56nF,,N,N,,,,S,S,S,X,,B,B,B,B,D,B,B,B,B,B,,C,C,C,C,C
683,68nF,,N,N,,,,S,S,S,X,,B,B,B,B,D,B,B,B,B,B,,C,C,C,C,C
823,82nF,,N,N,,,,S,S,S,X,,B,B,B,B,D,B,B,B,B,D,,C,C,C,C,C
104,100nF,,N,N,N,,,S,S,S,X,X2,B,B,B,B/D,D,B,B,B,B,D,,C,C,C,C,C
124,120nF,,,,,,,S,S,X,,,B,B,B,D,,B,B,B,B,D,,C,C,C,C,C
154,150nF,,,,,,,S,S,X,,,D,D,D,D,,C,C,C,C,G,,C,C,C,C,D
184,180nF,,,,,,,S,S,X,,,D,D,D,D,,C,C,C,C,G,,C,C,C,C,D
224,220nF,,,,N2,,,S,S,X,X2,,D,D,D,D,I2,C,C,C,C,G,,C,C,C,C,D
274,270nF,,,,,,,X,X,X,,,D,D,D,,,C,C,C,D,G,,C,C,C,C,G
334,330nF,,,,,,,X,X,X,,,D,D,D,I,,C,C,C,D,G,,C,C,C,D,G
394,390nF,,,,,,,X,X,X,,,D,D,D,,,C,C,J,P,G,,C,C,C,D,M
474,470nF,,N2,,,,,X,X,X,X2,,D,D,D,I,I2,J,J,J,P,G,,C,C,C,D,M
564,560nF,,,,,,,X,X,,,,D,D,D,,,J,J,J,P,P,,D,D,D,D,M
684,680nF,,,,,,,X,X,,,,D,D,D,,,J,J,J,P,P,,D,D,D,D,K
824,820nF,,,,,,,X,X,,,,D,D,D,,,J,J,J,P,P,,D,D,D,D,K
105,1μF,N2,,,,,,X,X,X1,X2,,D,D,D,I1,,J,J,J,P,P,,D,D,D,D,K
155,1.5μF,,,,,,,,,,,,I,I1,I1,,,J,J,P,,,,,,,,M
225,2.2μF,,,,,,,X1,X’2,,,,I,I,I,I2,,J,J,P,P1,P2,,,K,G,M1,M
335,3.3μF,,,,,,,,,,,,,,,,,P,P,P,,,,,K2,G1,,
475,4.7μF,,,,,,,,,,,,I1,I1,I1,,,P,P,P,P1,,,K,K,K1,M1,
685,6.8μF,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,10μF,,,,,,,,,,,,I1,I3,,,,P,P1,P1,,,,K,K,K1,M1,
156,15μF,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,22μF,,,,,,,,,,,,,,,,,P1,P3,,,,,M2,M1,M1,,
336,33μF,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,47μF,,,,,,,,,,,,,,,,,,,,,,M2,M1,,,,
686,68μF,,,,,,,,,,,,,,,,,,,,,,,,,,,
