Capacitance,Capacitance Code,0201 6.3V,0201 10V,0201 16V,0201 25V,0201 50V,0402 4V,0402 6.3V,0402 10V,0402 16V,0402 25V,0402 50V,0603 4V,0603 6.3V,0603 10V,0603 16V,0603 25V,0603 50V,0805 4V,0805 6.3V,0805 10V,0805 16V,0805 25V,0805 50V,1206 4V,1206 6.3V,1206 10V,1206 16V,1206 25V,1206 50V,1210 4V,1210 6.3V,1210 10V,1210 16V,1210 25V,1210 35V,1210 50V
100pF,-101,,,L,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150pF,-151,,,L,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220pF,-221,,,L,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330pF,-331,,,L,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470pF,-471,,,L,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680pF,-681,,,L,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820pF,-821,,,L,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000pF,-102,,L,L,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500pF,-152,,L,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200pF,-222,,L,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700pF,-272,,L,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3300pF,-332,,L,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4700pF,-472,,L,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6800pF,-682,,L,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.010μF,-103,L,L,L,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.015μF,-153,L,L,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
0.022μF,-223,L,L,L,L,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
0.033μF,-333,L,L,,,,,,,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,
0.047μF,-473,L,L,L,L,,,N,N,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,
0.068μF,-683,L,L,,,,,N,N,N,,E,,,,,,,,,,,,,,,,,,,,,,,,,
0.082μF,-823,L,L,,,,,N,N,N,,E,,,,,,,,,,,,,,,,,,,,,,,,,
0.10μF,-104,L,L,L,L,,,N,N,N,N,E,,,,,,,,,,,,,,,,,,,,,,,,,
0.15μF,-154,,L,,,,,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,
0.22μF,-224,L,L,L*,,,,N,N,N,N,N,,X,X,X,X,,,,,,,,,,,,,,,,,,,,
0.33μF,-334,L,,,,,,N,N,N,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,
0.47μF,-474,L,,,,,,N,N,N,N,E,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,
0.68μF,-684,,,,,,,N,N,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,
0.82μF,-824,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,
1.0μF,-105,L*,L*,L*,,,,N,N,N,N,E,,X,X,X,X,X,,,D,D,D,I,,,,,,,,,,,,,
1.5μF,-155,,,,,,,,,,,,,X,,,,,,I,I,I,I,,,,J,J,,,,,K,K,,,
2.2μF,-225,L*,,,,,,N,N,E,E,,,X,X,X,X,X,,I,I,I,I,I,,,J,J,P,P,,,K,K,,,
3.3μF,-335,,,,,,,,,,,,,X,X,,,,,I,I,I,I,,,,P,P,P,,,,,,,,
4.7μF,-475,,,,,,,E,E,E*,,,,X,X,X,X,,,I,I,I,I,I,,P,P,P,P,P,,,K,K,K,,
6.8μF,-685,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,
10μF,-106,,,,,,E*,E*,E*,E*,,,X,X,X,X,X*,,,I,I,I,I,I,,P,P,P,P,P,,K,K,K,K,M,M
22μF,-226,,,,,,,E*,,,,,X*,X*,X*,,,,,I,I*,I*,I*,,,P,P,P,P,,,M,M,M,M,M,
47μF,476,,,,,,,,,,,,X*,X*,,,,,,I*,I*,,,,,P,P,P*,,,,M,M,M,M*,,
100μF,107,,,,,,,,,,,,,,,,,,I*,I*,,,,,,P,,,,,,M*,M*,M*,,,
220μF,227,,,,,,,,,,,,,,,,,,,,,,,,P*,,,,,,M*,M*,,,,,
